start,path,missing_reactions,num_missing,flux,blocked_reactions,dead_end_metabolites
cpd00254_e0,"['cpd00254_e0', 'cpd00067_c0', 'cpd00001_c0', 'cpd00211_c0']","['rxn10571', 'rxn48566', 'rxn45696']",3,0.0,"['rxn45696', 'rxn48566']","['cpd32214_c0', 'cpd00211_c0', 'cpd17485_c0', 'cpd24202_c0', 'cpd35107_c0']"
cpd00254_e0,"['cpd00254_e0', 'cpd00067_c0', 'cpd00003_c0', 'cpd00211_c0']","['rxn10571', 'rxn48555', 'rxn36395']",3,0.0,"['rxn36395', 'rxn48555']","['cpd05490_c0', 'cpd31860_c0', 'cpd00211_c0', 'cpd24799_c0']"
cpd00254_e0,"['cpd00254_e0', 'cpd00067_c0', 'cpd00004_c0', 'cpd00211_c0']","['rxn10571', 'rxn47755', 'rxn47214']",3,0.0,"['rxn47214', 'rxn47755']","['cpd01011_c0', 'cpd27749_c0', 'cpd00211_c0', 'cpd28073_c0']"
cpd00254_e0,"['cpd00254_e0', 'cpd00067_c0', 'cpd00007_c0', 'cpd00211_c0']","['rxn10571', 'rxn48556', 'rxn47214']",3,0.0,"['rxn48556', 'rxn47214']","['cpd14529_c0', 'cpd00211_c0', 'cpd01011_c0', 'cpd21035_c0', 'cpd34861_c0', 'cpd11630_c0']"
cpd00254_e0,"['cpd00254_e0', 'cpd00067_c0', 'cpd00006_c0', 'cpd00211_c0']","['rxn10571', 'rxn48546', 'rxn36394']",3,0.0,['rxn36394'],"['cpd00211_c0', 'cpd00239_c0', 'cpd24799_c0']"
cpd00254_e0,"['cpd00254_e0', 'cpd00067_c0', 'cpd00008_c0', 'cpd00211_c0']","['rxn10571', 'rxn48557', 'rxn01236']",3,0.0,"['rxn01236', 'rxn48557']","['cpd24818_c0', 'cpd32612_c0', 'cpd01662_c0']"
cpd00254_e0,"['cpd00254_e0', 'cpd00067_c0', 'cpd01011_c0', 'cpd00211_c0']","['rxn10571', 'rxn44504', 'rxn47214']",3,0.0,"['rxn47214', 'rxn44504']","['cpd03737_c0', 'cpd00211_c0']"
cpd00254_e0,"['cpd00254_e0', 'cpd00067_c0', 'cpd00120_c0', 'cpd00211_c0']","['rxn10571', 'rxn38807', 'rxn13713']",3,0.0,['rxn13713'],"['cpd00650_c0', 'cpd07946_c0', 'cpd00120_c0', 'cpd00728_c0', 'cpd00211_c0']"
cpd00254_e0,"['cpd00254_e0', 'cpd00067_c0', 'cpd00728_c0', 'cpd00211_c0']","['rxn10571', 'rxn38972', 'rxn13713']",3,0.0,"['rxn13713', 'rxn38972']","['cpd00199_c0', 'cpd07946_c0', 'cpd00211_c0', 'cpd00120_c0']"
cpd00254_e0,"['cpd00254_e0', 'cpd00067_c0', 'cpd00029_c0', 'cpd00211_c0']","['rxn10571', 'rxn48418', 'rxn13427']",3,0.0,"['rxn13427', 'rxn48418']","['cpd27220_c0', 'cpd16910_c0', 'cpd22526_c0']"
cpd00254_e0,"['cpd00254_e0', 'cpd00067_c0', 'cpd02283_c0', 'cpd00211_c0']","['rxn10571', 'rxn02879', 'rxn02879']",3,0.0,['rxn02879'],"['cpd01935_c0', 'cpd02283_c0', 'cpd00211_c0']"
cpd00254_e0,"['cpd00254_e0', 'cpd00067_c0', 'cpd00067_e0', 'cpd00211_c0']","['rxn10571', 'rxn48492', 'rxn08183']",3,0.0,['rxn48492'],"['cpd00536_e0', 'cpd00211_c0', 'cpd00211_e0', 'cpd16638_c0']"
cpd00254_e0,"['cpd00254_e0', 'cpd00067_c0', 'cpd00211_e0', 'cpd00211_c0']","['rxn10571', 'rxn08183', 'rxn11382']",3,0.0,[],"['cpd00211_c0', 'cpd00211_e0']"
cpd00254_e0,"['cpd00254_e0', 'cpd00067_c0', 'cpd16910_c0', 'cpd00211_c0']","['rxn10571', 'rxn13429', 'rxn13427']",3,0.0,"['rxn13427', 'rxn13429']",['cpd00650_c0']
cpd00254_e0,"['cpd00254_e0', 'cpd00067_c0', 'cpd08635_c0', 'cpd00211_c0']","['rxn10571', 'rxn13813', 'rxn43672']",3,0.0,"['rxn13813', 'rxn43672']","['cpd21022_c0', 'cpd08635_c0', 'cpd00211_c0', 'cpd16660_c0']"
cpd00254_e0,"['cpd00254_e0', 'cpd00067_c0', 'cpd09684_c0', 'cpd00211_c0']","['rxn10571', 'rxn38354', 'rxn38354']",3,0.0,['rxn38354'],"['cpd09684_c0', 'cpd00211_c0', 'cpd23712_c0']"
cpd00254_e0,"['cpd00254_e0', 'cpd00067_c0', 'cpd23791_c0', 'cpd00211_c0']","['rxn10571', 'rxn22762', 'rxn36391']",3,0.0,"['rxn22762', 'rxn36391']","['cpd00211_c0', 'cpd24799_c0']"
cpd00254_e0,"['cpd00254_e0', 'cpd00067_c0', 'cpd00142_c0', 'cpd00211_c0']","['rxn10571', 'rxn23640', 'rxn00994']",3,0.0,"['rxn23640', 'rxn00994']","['cpd00279_c0', 'cpd00120_c0', 'cpd00142_c0', 'cpd00211_c0', 'cpd24314_c0', 'cpd27896_c0', 'cpd24320_c0']"
cpd00254_e0,"['cpd00254_e0', 'cpd00067_c0', 'cpd24683_c0', 'cpd00211_c0']","['rxn10571', 'rxn42231', 'rxn36393']",3,0.0,"['rxn36393', 'rxn42231']","['cpd00481_c0', 'cpd24683_c0', 'cpd00211_c0']"
cpd00254_e0,"['cpd00254_e0', 'cpd00067_c0', 'cpd24202_c0', 'cpd00211_c0']","['rxn10571', 'rxn45696', 'rxn45696']",3,0.0,['rxn45696'],"['cpd24202_c0', 'cpd00211_c0', 'cpd32214_c0']"
cpd00254_e0,"['cpd00254_e0', 'cpd00137_c0', 'cpd00001_c0', 'cpd00211_c0']","['rxn11078', 'rxn33231', 'rxn45696']",3,0.0,"['rxn33231', 'rxn45696']","['cpd00331_c0', 'cpd32214_c0', 'cpd00137_e0', 'cpd00211_c0', 'cpd24202_c0']"
cpd00254_e0,"['cpd00254_e0', 'cpd00137_c0', 'cpd00008_c0', 'cpd00211_c0']","['rxn11078', 'rxn40419', 'rxn01236']",3,0.0,"['rxn01236', 'rxn40419']","['cpd31340_c0', 'cpd01662_c0', 'cpd00137_e0']"
cpd00254_e0,"['cpd00254_e0', 'cpd00137_c0', 'cpd00029_c0', 'cpd00211_c0']","['rxn11078', 'rxn43073', 'rxn13427']",3,0.0,"['rxn13427', 'rxn43073']","['cpd22526_c0', 'cpd16910_c0', 'cpd36175_c0', 'cpd00137_e0']"
cpd00254_e0,"['cpd00254_e0', 'cpd00137_c0', 'cpd00067_e0', 'cpd00211_c0']","['rxn11078', 'rxn34088', 'rxn08183']",3,0.0,['rxn34088'],"['cpd00211_e0', 'cpd00211_c0', 'cpd00032_e0']"
