model_id,objective_expression,objective_rxn_ids,objective_rxn_names,status
MAG001_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1_reverse_b18f7;bio1,unknown;bio1,OK
MAG002_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1;bio1_reverse_b18f7,bio1;unknown,OK
MAG003_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1_reverse_b18f7;bio1,unknown;bio1,OK
MAG004_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1_reverse_b18f7;bio1,unknown;bio1,OK
MAG005_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1_reverse_b18f7;bio1,unknown;bio1,OK
MAG006_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1_reverse_b18f7;bio1,unknown;bio1,OK
MAG007_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1;bio1_reverse_b18f7,bio1;unknown,OK
MAG008_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1_reverse_b18f7;bio1,unknown;bio1,OK
MAG009_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1;bio1_reverse_b18f7,bio1;unknown,OK
MAG010_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1_reverse_b18f7;bio1,unknown;bio1,OK
MAG011_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1;bio1_reverse_b18f7,bio1;unknown,OK
MAG012_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1;bio1_reverse_b18f7,bio1;unknown,OK
MAG013_gapfilled_noO2,1.0*EX_cpd00211_e0 - 1.0*EX_cpd00211_e0_reverse_33ef0,EX_cpd00211_e0;EX_cpd00211_e0_reverse_33ef0,Butyrate_e0 exchange;unknown,OK
MAG014_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1;bio1_reverse_b18f7,bio1;unknown,OK
MAG015_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1;bio1_reverse_b18f7,bio1;unknown,OK
MAG016_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1;bio1_reverse_b18f7,bio1;unknown,OK
MAG017_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1_reverse_b18f7;bio1,unknown;bio1,OK
MAG018_gapfilled_noO2,1.0*bio1 - 1.0*bio1_reverse_b18f7,bio1;bio1_reverse_b18f7,bio1;unknown,OK
