model_id,Butyrate_min,Butyrate_max,Propionate_min,Propionate_max,Butyrate_status,Propionate_status
MAG001.sbml_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG013.sbml_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG019.sbml_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG020.sbml_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG024.sbml_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG025.sbml_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG026.sbml_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG030.sbml_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG036_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG039_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG043_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG054_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG055_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG056_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG060_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG066_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG067_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG071_gapfilled_noO2,0.0,0.0,0.0,0.0,blocked,blocked
MAG075_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG076_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG082_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG083_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG084_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG086_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG087_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG088_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG092_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG096_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG100_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG101_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG102_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG105_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG107_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG113_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG114_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG116_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG120_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG122_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG123_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG135_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG139_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG143_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG145_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG147_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG150_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG152_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG154_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG155_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG156_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG158_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG160_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG162_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG166_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG168_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG169_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG170_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG172_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG174_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
MAG175_gapfilled_noO2,0.0,0.0,,,blocked,no_reaction
