mag,added_reaction_count,added_reactions,flux
MAG052_gapfilled_noO2,1,EX_cpd00211_e0: cpd00211_e0 <=> ,0.0
MAG021_gapfilled_noO2,1,EX_cpd00211_e0: cpd00211_e0 <=> ,0.0
MAG042_gapfilled_noO2,1,EX_cpd00211_e0: cpd00211_e0 <=> ,0.0
MAG011_gapfilled_noO2,1,EX_cpd00211_e0: cpd00211_e0 <=> ,0.0
MAG001_gapfilled_noO2,1,EX_cpd00211_e0: cpd00211_e0 <=> ,0.0
MAG002_gapfilled_noO2,1,EX_cpd00211_e0: cpd00211_e0 <=> ,0.0
MAG022_gapfilled_noO2,3,rxn10577_c0: cpd00528_e0 <=> cpd00528_c0; EX_cpd00528_e0: cpd00528_e0 --> ; EX_cpd00211_e0: cpd00211_e0 <=> ,0.0
MAG041_gapfilled_noO2,2,rxn00994_c0: cpd00120_c0 + cpd00142_c0 <=> cpd00211_c0 + cpd00279_c0; EX_cpd00211_e0: cpd00211_e0 <=> ,1.0
MAG051_gapfilled_noO2,1,EX_cpd00211_e0: cpd00211_e0 <=> ,0.0
MAG032_gapfilled_noO2,1,EX_cpd00211_e0: cpd00211_e0 <=> ,0.0
MAG029_gapfilled_noO2,1,EX_cpd00211_e0: cpd00211_e0 <=> ,0.0
MAG034_gapfilled_noO2,1,EX_cpd00211_e0: cpd00211_e0 <=> ,0.0
MAG039_gapfilled_noO2,3,rxn00875_c0: cpd00029_c0 + cpd00120_c0 <=> cpd00022_c0 + cpd00211_c0; rxn34269_c0: 48.0 cpd00001_c0 + 250.0 cpd00009_c0 + cpd30041_c0 <=> 50.0 cpd00027_c0 + 250.0 cpd00089_c0; EX_cpd00211_e0: cpd00211_e0 <=> ,1.0
MAG004_gapfilled_noO2,1,EX_cpd00211_e0: cpd00211_e0 <=> ,0.0
MAG009_gapfilled_noO2,1,EX_cpd00211_e0: cpd00211_e0 <=> ,0.0
MAG014_gapfilled_noO2,1,EX_cpd00211_e0: cpd00211_e0 <=> ,0.0
MAG017_gapfilled_noO2,1,EX_cpd00211_e0: cpd00211_e0 <=> ,0.0
MAG007_gapfilled_noO2,1,EX_cpd00211_e0: cpd00211_e0 <=> ,0.0
MAG037_gapfilled_noO2,1,EX_cpd00211_e0: cpd00211_e0 <=> ,0.0
MAG054_gapfilled_noO2,1,EX_cpd00211_e0: cpd00211_e0 <=> ,0.0
MAG044_gapfilled_noO2,1,EX_cpd00211_e0: cpd00211_e0 <=> ,0.0
MAG006_gapfilled_noO2,1,EX_cpd00211_e0: cpd00211_e0 <=> ,0.0
MAG016_gapfilled_noO2,1,EX_cpd00211_e0: cpd00211_e0 <=> ,0.0
MAG048_gapfilled_noO2,1,EX_cpd00211_e0: cpd00211_e0 <=> ,0.0
MAG036_gapfilled_noO2,1,EX_cpd00211_e0: cpd00211_e0 <=> ,0.0
MAG028_gapfilled_noO2,1,EX_cpd00211_e0: cpd00211_e0 <=> ,0.0
MAG025_gapfilled_noO2,1,EX_cpd00211_e0: cpd00211_e0 <=> ,0.0
MAG046_gapfilled_noO2,1,EX_cpd00211_e0: cpd00211_e0 <=> ,0.0
MAG018_gapfilled_noO2,1,EX_cpd00211_e0: cpd00211_e0 <=> ,0.0
MAG005_gapfilled_noO2,2,rxn00875_c0: cpd00029_c0 + cpd00120_c0 <=> cpd00022_c0 + cpd00211_c0; EX_cpd00211_e0: cpd00211_e0 <=> ,1.0
MAG013_gapfilled_noO2,4,EX_cpd15240_e0: cpd15240_e0 --> ; rxn11308_c0: cpd00002_c0 + 9.0 cpd00003_c0 + 9.0 cpd00010_c0 + 9.0 cpd00015_c0 + cpd01080_c0 --> 9.0 cpd00004_c0 + cpd00012_c0 + cpd00018_c0 + 9.0 cpd00022_c0 + 9.0 cpd00067_c0 + 9.0 cpd00982_c0; EX_cpd00211_e0: cpd00211_e0 <=> ; rxn06079_c0: cpd00001_c0 + cpd11652_c0 <=> cpd00067_c0 + cpd00080_c0 + cpd11423_c0,1.0
MAG003_gapfilled_noO2,1,EX_cpd00211_e0: cpd00211_e0 <=> ,0.0
MAG217_gapfilled_noO2,1,EX_cpd00211_e0: cpd00211_e0 <=> ,0.0
MAG033_gapfilled_noO2,1,EX_cpd00211_e0: cpd00211_e0 <=> ,0.0
MAG050_gapfilled_noO2,1,EX_cpd00211_e0: cpd00211_e0 <=> ,0.0
MAG023_gapfilled_noO2,1,EX_cpd00211_e0: cpd00211_e0 <=> ,0.0
MAG043_gapfilled_noO2,3,rxn11308_c0: cpd00002_c0 + 9.0 cpd00003_c0 + 9.0 cpd00010_c0 + 9.0 cpd00015_c0 + cpd01080_c0 --> 9.0 cpd00004_c0 + cpd00012_c0 + cpd00018_c0 + 9.0 cpd00022_c0 + 9.0 cpd00067_c0 + 9.0 cpd00982_c0; rxn00872_c0: cpd00015_c0 + cpd00120_c0 <=> cpd00650_c0 + cpd00982_c0; EX_cpd00211_e0: cpd00211_e0 <=> ,1.0
