mag,added_reaction_count,added_reactions,flux
MAG052_gapfilled_noO2,1,EX_cpd00211_e0: Butyrate_e0 <=> ,0.0
MAG021_gapfilled_noO2,1,EX_cpd00211_e0: Butyrate_e0 <=> ,0.0
MAG042_gapfilled_noO2,1,EX_cpd00211_e0: Butyrate_e0 <=> ,0.0
MAG011_gapfilled_noO2,1,EX_cpd00211_e0: Butyrate_e0 <=> ,0.0
MAG001_gapfilled_noO2,1,EX_cpd00211_e0: Butyrate_e0 <=> ,0.0
MAG002_gapfilled_noO2,1,EX_cpd00211_e0: Butyrate_e0 <=> ,0.0
MAG022_gapfilled_noO2,3,rxn10577_c0: N2_e0 <=> N2_c0; EX_cpd00528_e0: N2_e0 <=> ; EX_cpd00211_e0: Butyrate_e0 <=> ,0.0
MAG041_gapfilled_noO2,2,rxn00994_c0: Butyryl-CoA_c0 + Acetoacetate_c0 <=> Butyrate_c0 + Acetoacetyl-CoA_c0; EX_cpd00211_e0: Butyrate_e0 <=> ,1.0
MAG051_gapfilled_noO2,1,EX_cpd00211_e0: Butyrate_e0 <=> ,0.0
MAG032_gapfilled_noO2,1,EX_cpd00211_e0: Butyrate_e0 <=> ,0.0
MAG029_gapfilled_noO2,1,EX_cpd00211_e0: Butyrate_e0 <=> ,0.0
MAG034_gapfilled_noO2,1,EX_cpd00211_e0: Butyrate_e0 <=> ,0.0
MAG039_gapfilled_noO2,3,"rxn00875_c0: Butyryl-CoA_c0 + Acetate_c0 <=> Acetyl-CoA_c0 + Butyrate_c0; rxn34269_c0: 48 H2O_c0 + 250 Phosphate_c0 + starch n=300 repeat units (80 repeat units amylose, 220 repeat units amylopectin, corresponds to maize starch)_c0 <=> 50 D-Glucose_c0 + 250 Glucose-1-phosphate_c0; EX_cpd00211_e0: Butyrate_e0 <=> ",1.0
MAG004_gapfilled_noO2,1,EX_cpd00211_e0: Butyrate_e0 <=> ,0.0
MAG009_gapfilled_noO2,1,EX_cpd00211_e0: Butyrate_e0 <=> ,0.0
MAG014_gapfilled_noO2,1,EX_cpd00211_e0: Butyrate_e0 <=> ,0.0
