MAG,pearson_r_raw,p_value_raw,source_raw,in_raw,pearson_r_clr,p_value_clr,source_clr,in_clr,butyrate_metabolite
MAG001,0.7884140455880365,0.003936203539528596,raw,True,,,,False,False
MAG002,0.9154027104403035,7.710193624079976e-05,raw,True,,,,False,False
MAG003,0.9134920161977942,8.501330068133284e-05,raw,True,0.8142906412942594,0.0022777558575470176,clr,True,False
MAG004,0.8413257113114361,0.0011694793935848051,raw,True,,,,False,False
MAG005,0.8404949851878027,0.0011957726403040185,raw,True,0.7078956810768189,0.014794651885633087,clr,True,True
MAG006,0.910168294205136,0.00010023755271815018,raw,True,0.9081881933135975,0.00011024681508743139,clr,True,False
MAG007,0.8694087893911817,0.0005079022033378429,raw,True,,,,False,False
MAG009,0.9956265672639635,1.4073230107756787e-10,raw,True,0.7680561478686284,0.005765272305510966,clr,True,False
MAG010,0.939483702993193,1.7692023521434254e-05,raw,True,0.7982908152978812,0.003223313554520328,clr,True,True
MAG011,0.8432026542249458,0.0011116727010166338,raw,True,0.8276381227321338,0.0016619976120447022,clr,True,False
MAG013,0.8698396891197164,0.0005007287410695013,raw,True,0.7404236715979247,0.009159935177748185,clr,True,False
MAG014,0.9334840294578853,2.6834736900096693e-05,raw,True,0.9471312271023393,9.741071171730763e-06,clr,True,False
MAG016,0.8067101027274768,0.0026954211552051867,raw,True,,,,False,False
MAG017,0.7217630768318317,0.012153050616180097,raw,True,0.7338840567486141,0.010139475997691763,clr,True,False
MAG018,0.8112395260295884,0.0024395863240739284,raw,True,0.8078830301841728,0.0026273421110229703,clr,True,True
MAG020,0.9011211164133561,0.0001523113824426557,raw,True,0.7603707497751204,0.0065961598116230985,clr,True,False
MAG021,0.8245416221460554,0.001792132893183435,raw,True,,,,False,False
MAG022,0.9581565280907174,3.4555257461259506e-06,raw,True,,,,False,False
MAG023,0.8153145856955375,0.0022252839557124495,raw,True,0.9172270861469766,7.008568548328387e-05,clr,True,False
MAG025,0.9317593727047722,3.003475607100233e-05,raw,True,0.9243392923022931,4.727223615918542e-05,clr,True,False
MAG028,0.7978837793054134,0.0032506389064351853,raw,True,0.7040234589392611,0.015600610194857992,clr,True,False
MAG029,0.9408352995311274,1.6013771310424056e-05,raw,True,0.911176963680832,9.54137844235924e-05,clr,True,False
MAG030,0.9078375655263293,0.00011209586875914275,raw,True,0.7068878569386139,0.015001464423145369,clr,True,False
MAG032,0.9012596755682952,0.0001513844582057373,raw,True,0.819931052114114,0.0019998259711776463,clr,True,False
MAG033,0.9719194081915856,5.857185960239799e-07,raw,True,0.7686759764376995,0.0057017970230699025,clr,True,False
MAG034,0.9364462377949883,2.1956045152877742e-05,raw,True,0.7513634659106345,0.007678003342184449,clr,True,False
MAG036,0.8705320553487473,0.0004893633303281538,raw,True,,,,False,False
MAG037,0.9852097182922204,3.334924043044988e-08,raw,True,0.928344182393485,3.722901752128848e-05,clr,True,False
MAG039,,,,False,0.7929755640227407,0.0035938391120374337,clr,True,False
MAG041,0.921283606556133,5.623753717423524e-05,raw,True,0.7758646685413517,0.0050026007277482526,clr,True,True
MAG042,0.8007982789490843,0.0030587226935306004,raw,True,0.7163860293579783,0.013132989981771363,clr,True,False
MAG043,0.8367672444953932,0.001319262851521077,raw,True,,,,False,False
MAG044,0.8310790691197631,0.0015258250861719272,raw,True,0.7655837315050964,0.0060236459123642555,clr,True,False
MAG046,0.8934134804069834,0.0002110781256314537,raw,True,0.9012721204805042,0.0001513014159716953,clr,True,False
MAG048,0.8500874847456914,0.0009178313338097002,raw,True,,,,False,False
MAG050,,,,False,0.8830734063296908,0.00031527105134800907,clr,True,False
MAG051,0.766457651077758,0.005931367250851807,raw,True,0.8364299874237593,0.0013308888046304063,clr,True,False
MAG052,,,,False,0.8206533566255968,0.0019661575816564366,clr,True,False
MAG054,0.7701643625827564,0.0055514741801196985,raw,True,,,,False,False
MAG217,0.7887718076070701,0.0039085133982586975,raw,True,,,,False,False
