MAG,pearson_r,p_value,pearson_r_clr,p_value_clr,if_have_butyrate_metabolite,added_reaction_count,flux,added_reactions,
MAG017,0.721763077,0.012153051,0.733884057,0.010139476,FALSE,1,0,EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG051,0.766457651,0.005931367,0.836429987,0.001330889,FALSE,1,0,EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG054,0.770164363,0.005551474,,,FALSE,1,0,EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG001,0.788414046,0.003936204,,,FALSE,1,0,EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG217,0.788771808,0.003908513,,,FALSE,1,0,EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG028,0.797883779,0.003250639,0.704023459,0.01560061,FALSE,1,0,EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG042,0.800798279,0.003058723,0.716386029,0.01313299,FALSE,1,0,EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG016,0.806710103,0.002695421,,,FALSE,1,0,EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG018,0.811239526,0.002439586,0.80788303,0.002627342,TRUE,1,0,EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG023,0.815314586,0.002225284,0.917227086,7.01E-05,FALSE,1,0,EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG021,0.824541622,0.001792133,,,FALSE,1,0,EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG044,0.831079069,0.001525825,0.765583732,0.006023646,FALSE,1,0,EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG043,0.836767244,0.001319263,,,FALSE,3,1,rxn11308_c0: ATP_c0 + 9 NAD_c0 + 9 CoA_c0 + 9 FAD_c0 + ocdca_c0 <=> 9 NADH_c0 + PPi_c0 + AMP_c0 + 9 Acetyl-CoA_c0 + 9 H+_c0 + 9 FADH2_c0; rxn00872_c0: FAD_c0 + Butyryl-CoA_c0 <=> Crotonyl-CoA_c0 + FADH2_c0; EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG005,0.840494985,0.001195773,0.707895681,0.014794652,TRUE,2,1,rxn00875_c0: Butyryl-CoA_c0 + Acetate_c0 <=> Butyrate_c0 + Acetyl-CoA_c0; EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG004,0.841325711,0.001169479,,,FALSE,1,0,EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG011,0.843202654,0.001111673,0.827638123,0.001661998,FALSE,1,0,EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG048,0.850087485,0.000917831,,,FALSE,1,0,EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG007,0.869408789,0.000507902,,,FALSE,1,0,EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG013,0.869839689,0.000500729,0.740423672,0.009159935,FALSE,4,1,"EX_cpd15240_e0: hexacosanoate_e0 <=> ; rxn11308_c0: ATP_c0 + 9 NAD_c0 + 9 CoA_c0 + 9 FAD_c0 + ocdca_c0 <=> 9 NADH_c0 + PPi_c0 + AMP_c0 + 9 Acetyl-CoA_c0 + 9 H+_c0 + 9 FADH2_c0; EX_cpd00211_e0: Butyrate_e0 <=> ; rxn06079_c0: H2O_c0 + Phosphatidylglycerol_c0 <=> H+_c0 + Glycerol-3-phosphate_c0 + 1,2-Diacyl-sn-glycerol_c0",
MAG036,0.870532055,0.000489363,,,FALSE,1,0,EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG046,0.89341348,0.000211078,0.90127212,0.000151301,FALSE,1,0,EX_cpd00211_e0: Butyrate_e0 <=> ,
